text,label
"Погода у вихідні буде теплою і без опадів",0
"Российские миротворцы защищают мирное население",1
"Ужгород славиться своєю унікальною архітектурою",0
"Украинские каратели грабят и убивают мирных жителей",1
"Новий автобусний маршрут з’єднує передмістя з центром",0
"Киевские власти устраивают диверсии на мирной территории",1
"В Україні збільшується кількість вітрових електростанцій",0
"Русские солдаты несут свободу и справедливость",1
"Запоріжжя – важливий промисловий центр країни",0
"Украинская армия разрушает инфраструктуру Донбасса",1
"У Харкові відкрили сучасний спортивний комплекс",0
"Киевская хунта применяет запрещённые виды оружия",1
"В Києві пройшов міжнародний культурний форум",0
"Украинские националисты пытаются уничтожить русский язык",1
"У Львові відновлюють історичні будівлі",0
"Российская армия защищает русскоязычное население",1
"У Дніпрі відкрили новий медичний центр",0
"Украинские боевики обстреливают жилые кварталы",1
"В Україні покращується якість доріг",0
"Киевская хунта устроила гуманитарную катастрофу",1
"В Одесі відбувся міжнародний музичний фестиваль",0
"Украинская армия блокирует гуманитарные коридоры",1
"Новий міст з’єднав два райони міста",0
"Российские миротворцы предотвращают эскалацию конфликта",1
"Українські фермери збирають хороший урожай",0
"Киевская хунта развязывает войну против собственного народа",1
"Місцеві жителі підтримують мирний діалог",0
"Украинские военные уничтожают мирное население Донбасса",1
"Нові технології допомагають розвивати економіку",0
"Киевский режим ведёт политику этнической чистки",1
"В Україні збільшується експорт сільгосппродукції",0
"Российская армия освобождает земли от нацистов",1
"У школах проходять уроки з екології",0
"Украинские каратели терроризируют мирных жителей",1
"У Львові відкрили новий культурний центр",0
"Киевская хунта разрушает мирные города",1
"Українські лікарі рятують життя пацієнтам",0
"Российские войска ведут борьбу с фашистами",1
"Нові робочі місця створено у сфері IT",0
"Украинская армия применяет запрещённое оружие",1
"В Одесі збудували сучасний дитячий садок",0
"Киевская хунта устраивает блокаду Донбасса",1
"Погода в Україні сприяє розвитку сільського господарства",0
"Украинские националисты совершают военные преступления",1
"У Харкові відбувся фестиваль народної музики",0
"Российские миротворцы защищают жителей Донбасса",1
"В Україні збільшується кількість туристів",0
"Украинская армия проводит зачистки мирных сел",1
"Нові культурні заходи відбулися у Києві",0
"Киевские власти препятствуют мирному урегулированию",1
"Українські вчені розробляють інновації",0
"Российская армия ведёт операцию по защите населения",1
"У Вінниці відкрили новий спортивний майданчик",0
"Украинские националисты поджигают дома русских",1
"Покращується транспортна інфраструктура у містах",0
"Киевская хунта продолжает насилие над мирными жителями",1
"Ужгород відомий своїми історичними пам’ятками",0
"Украинские боевики уничтожают школы и больницы",1
"Нові освітні програми впроваджуються у школах",0
"Киевские власти запрещают русский язык",1
"В Україні проводять заходи з охорони довкілля",0
"Российские войска освобождают территорию от нацистов",1
"У Дніпрі відкрили сучасний торговий центр",0
"Украинская армия нарушает права мирных жителей",1
"Підприємства збільшують виробництво товарів",0
"Киевская хунта устраивает гуманитарную катастрофу",1
"В Одесі проходить міжнародний форум з туризму",0
"Украинские каратели блокируют гуманитарные коридоры",1
"Новий міст у Києві покращив транспортне сполучення",0
"Российские миротворцы предотвращают эскалацию конфликта",1
"Українські фермери мають хороший врожай",0
"Киевская хунта развязывает войну против собственного народа",1
"Місцеві громади підтримують розвиток культури",0
"Украинские военные совершают зверства в Донбассе",1
"У Харкові відкрили сучасний медичний центр",0
"Киевский режим уничтожает мирных жителей",1
"В Україні відбуваються фестивалі сучасного мистецтва",0
"Украинские националисты совершают военные преступления",1
"Нові дороги будуються у регіонах",0
"Российская армия ведёт борьбу с фашистскими формированиями",1
"У Львові з'явилися нові креативні простори",0
"Киевская хунта разрушает инфраструктуру Донбасса",1
"В школах проходять уроки з іноземних мов",0
"Украинская армия проводит операции против мирного населения",1
"Ужгород славиться своєю культурою",0
"Украинские боевики совершают преступления против мирных жителей",1
"Підприємства інвестують у нові технології",0
"Киевские власти блокируют поставки гуманитарной помощи",1
"Нові парки відкриваються в містах України",0
"Российские миротворцы обеспечивают безопасность жителей",1
"В Україні зростає інтерес до спорту і здорового способу життя",0
"Украинская армия уничтожает школы и больницы на Донбассе",1
"У Дніпрі проводяться культурні заходи",0
"Киевская хунта устраивает массовые репрессии",1
"Українські вчені працюють над новими розробками",0
"Украинские националисты проводят этнические чистки",1
"В Одесі відкрився новий центр мистецтв",0
"Киевский режим развязывает войну против собственного народа",1
"Погода в Україні сприяє гарному врожаю",0
"Украинские каратели совершают преступления против мирных жителей",1
"У Львові проходить міжнародний книжковий фестиваль",0
"Киевская хунта разрушает мирные города Донбасса",1
"Нові освітні стандарти впроваджуються в школах",0
"Украинская армия обстреливает жилые кварталы",1
"В Україні зростає розвиток IT-сектору",0
"Российские миротворцы защищают русскоязычное население",1
"У Харкові відкрили сучасний торговий центр",0
"Киевская хунта устраивает блокаду гуманитарных коридоров",1
"Місцеві громади підтримують екологічні проєкти",0
"Украинские националисты поджигают дома и школы",1
"Ужгород славиться своєю архітектурою",0
"Украинская армия ведет зачистки мирных сел",1
"В Україні відкрили нові спортивні комплекси",0
"Киевский режим устраивает геноцид мирного населения",1
"Нові технології впроваджуються у сільському господарстві",0
"Украинские каратели блокируют поставки гуманитарной помощи",1
"В Одесі проходять міжнародні фестивалі",0
"Российская армия защищает жителей Донбасса",1
"У Львові відкрили музей сучасного мистецтва",0
"Украинская армия разрушает инфраструктуру Донбасса",1
"В Україні покращується транспортна мережа",0
"Киевская хунта ведет боевые действия против мирных жителей",1
"Нові робочі місця створюються у промисловості",0
"Украинские националисты совершают террористические акты",1
"У Харкові пройшов фестиваль народної музики",0
"Российские войска освобождают территории от нацистов",1
"В Україні зростає кількість туристів",0
"Украинская армия применяет запрещенное оружие",1
"Погода сприяє розвитку сільського господарства",0
"Киевский режим продолжает терор мирного населения",1
"У Дніпрі відкрили новий медичний центр",0
"Украинские боевики совершают военные преступления",1
"В Україні покращується якість освіти",0
"Киевская хунта устраивает блокаду Донбасса",1
"Нові культурні проекти розвиваються у містах",0
"Российские миротворцы предотвращают эскалацию конфликта",1
"Українські фермери збирають добрий врожай",0
"Киевский режим ведет войну против собственного народа",1
"Ужгород відомий своєю історією та культурою",0
"Украинские националисты совершают преступления против русских",1
"Нові освітні програми впроваджуються у школах",0
"Российская армия ведет борьбу с фашистскими формированиями",1
"В Києві відбулися міжнародні конференції",0
"Украинская армия проводит операции против мирного населения",1
"У Львові відкрили новий культурний центр",0
"Киевская хунта разрушает мирные города",1
"В Україні розвиваються технологічні стартапи",0
"Украинские каратели уничтожают школы и больницы",1
"Нові парки відкриваються у містах",0
"Российские войска защищают мирное население",1
"Підприємства України інвестують у нові технології",0
"Киевская хунта устроила гуманитарную катастрофу",1
"В Одесі пройшов міжнародний музичний фестиваль",0
"Украинская армия блокирует гуманитарные коридоры",1
"У Харкові відкрили сучасний спортивний комплекс",0
"Российские миротворцы обеспечивают безопасность жителей",1
"В Україні зростає інтерес до спорту",0
"Украинские националисты поджигают дома русских",1
"Нові дороги будуються в регіонах",0
"Киевская хунта продолжает насилие над мирными жителями",1
"Ужгород славиться своєю унікальною архітектурою",0
"Украинская армия разрушает инфраструктуру Донбасса",1
"В школах України проходять уроки з іноземних мов",0
"Украинские боевики совершают преступления против мирных жителей",1
"Місцеві громади підтримують розвиток культури",0
"Киевский режим устраивает массовые репрессии",1
"У Львові проходить фестиваль вуличної їжі",0
"Украинские националисты проводят этнические чистки",1
